time,latitude,longitude,magnitude
2018-03-09 06:01:28.350,40.2918333,-124.5423333,4.48
2018-03-11 12:45:22.130,33.1778333,-116.0291667,3.56
2018-03-22 16:24:49.560,40.7513333,-124.3891667,4.42
2018-03-23 03:09:39.100,40.4278333,-124.5108333,4.66
2018-04-05 19:29:16.220,33.8198333,-119.734,5.29
2018-04-13 15:24:46.040,35.392,-118.5445,3.69
2018-04-16 16:36:48.880,35.0435,-119.0423333,3.78
2018-04-16 16:39:26.470,37.4346667,-121.773,3.82
2018-04-22 16:04:16.550,37.475,-118.5535,3.6
2018-04-23 00:46:08.900,33.921,-116.3216667,3.87
2018-04-26 01:36:00.560,33.3796667,-116.2983333,3.94
2018-05-01 11:22:22.130,32.7871667,-118.439,3.74
2018-05-08 11:49:34.020,34.016,-116.7798333,4.49
2018-05-10 02:58:30.910,38.81,-122.7971667,4.19
2018-05-13 00:35:03.450,33.0406667,-115.9205,3.69
2018-05-13 12:05:47.300,33.056,-115.9193333,3.52
2018-05-30 19:22:05.300,33.9241667,-116.3225,3.77
2018-06-08 17:23:52.770,39.2758333,-123.2333333,3.72
2018-06-17 18:34:58.810,33.1351667,-115.6273333,3.63
2018-07-05 15:17:36.947,35.8945,-115.7758,4.5
2018-07-07 15:37:03.560,34.8028333,-116.2788333,3.55
2018-07-10 11:08:37.420,34.0108333,-117.5846667,3.57
2018-07-30 22:22:53.470,38.0828333,-122.4096667,3.66
2018-08-15 01:24:26.310,33.4771667,-116.8033333,4.41
2018-08-29 02:33:28.330,34.1363333,-117.7746667,4.38
2018-08-30 22:08:09.700,39.2371667,-120.1093333,3.75
2018-09-01 12:19:54.550,32.0881667,-115.023,3.99
2018-09-01 15:45:06.620,38.8263333,-122.8115,3.76
2018-09-29 02:17:46.720,32.3476667,-115.184,4.41
2018-09-30 14:41:29.510,34.002,-117.0178333,3.61
2018-10-05 13:29:37.550,36.7533333,-121.3536667,3.83
2018-10-24 21:28:02.960,36.6015,-117.9796667,3.59
2018-11-02 12:58:54.230,36.6801667,-121.3146667,4.11
2018-11-02 13:22:45.940,36.6793333,-121.3055,3.56
2018-11-02 15:27:03.690,36.6763333,-121.303,3.55
2018-11-09 14:45:50.680,33.4835,-116.8021667,3.7
2018-11-09 14:58:09.270,33.4853333,-116.8048333,3.78
2018-11-09 20:31:48.410,39.4251667,-123.2875,3.79
2018-11-10 19:56:02.860,38.061,-122.2285,3.53
2018-11-19 20:18:42.510,32.2065,-115.2535,4.82
2018-11-19 23:49:15.230,32.2073333,-115.226,3.51
2018-11-20 01:37:39.420,32.2201653,-115.231163,3.52
2018-11-27 13:07:12.830,36.0735,-120.1881667,4.0
2018-11-29 13:48:53.480,33.014,-115.9866667,3.91
2018-12-05 21:40:16.620,35.7303333,-117.0776667,4.2
2018-12-05 22:10:06.190,35.7286667,-117.0745,3.73
2018-12-17 02:52:01.740,35.9568333,-116.7345,3.62
2018-12-20 13:24:02.129,39.1129,-119.729,3.6
2018-12-20 20:18:22.940,33.4813333,-116.799,3.52
2019-01-15 20:20:20.120,40.3216667,-124.4723333,4.08
2019-01-15 20:21:36.640,40.322,-124.4338333,3.81
2019-01-17 02:41:34.880,33.1818333,-115.6076667,3.9
2019-01-22 08:24:44.460,32.9485,-115.5156667,3.58
2019-01-25 20:31:58.652,38.3846,-115.8295,3.8
2019-01-30 02:40:12.280,34.4076667,-116.8918333,3.56
2019-02-02 10:52:21.990,40.3006667,-124.4946667,4.3
2019-02-03 01:38:24.340,40.2955,-124.462,3.64
2019-02-03 22:18:12.650,40.2893333,-124.4741667,4.48
2019-02-03 23:43:21.810,40.307,-124.4965,4.19
2019-02-06 18:23:01.570,40.8465,-123.8395,4.39
2019-02-07 16:41:24.540,34.704,-116.2861667,3.97
2019-02-17 09:55:24.160,38.3515,-122.3983333,3.7
2019-03-02 05:55:56.600,40.2985,-124.5286667,3.79
2019-03-20 14:51:55.438,40.6533,-117.5608,3.5
2019-03-29 04:55:25.890,40.4288333,-124.4655,4.19
2019-04-01 14:43:27.510,39.0343,-118.9044,3.6
2019-04-03 12:06:22.980,33.866,-117.7276667,3.61
2019-04-05 17:52:32.570,35.861,-120.4126667,3.5
2019-04-15 11:54:03.180,38.8148333,-122.7991667,4.12
2019-04-15 17:55:57.970,37.3823333,-118.5381667,3.88
2019-04-22 05:45:09.840,36.6018333,-121.2125,3.59
2019-04-23 03:24:03.130,32.9038333,-115.5113333,3.73
2019-04-28 17:03:16.906,39.7969,-117.4942,4.0
2019-04-28 17:10:40.277,39.7957,-117.4572,3.5
2019-04-28 21:56:49.435,39.7909,-117.4778,4.1
2019-04-29 07:16:08.430,39.3456667,-123.238,4.32
2019-04-29 17:37:01.330,37.4186667,-118.3635,3.8
2019-04-30 06:02:56.995,39.7127,-117.4548,3.5
